dataset,scene,image,rotation_matrix,translation_vector
imc2023_haiper,clustercluster1,fountain_image_116.png,-0.904877030;-0.332588306;0.265673821;0.414172203;-0.543800618;0.729891960;-0.098279943;0.770497181;0.629821520,-0.386007028;-0.757245401;0.001618247
imc2023_haiper,clustercluster1,fountain_image_108.png,nan;nan;nan;nan;nan;nan;nan;nan;nan,nan;nan;nan
imc2023_haiper,clustercluster1,fountain_image_101.png,-0.424429027;0.859171113;-0.285805877;-0.806752358;-0.215513193;0.550186057;0.411109030;0.464089498;0.784608376,0.351741140;-0.678798907;-0.088142393
imc2023_haiper,clustercluster1,fountain_image_082.png,0.958820137;-0.200502699;0.201153209;0.020377353;0.754991023;0.655418431;-0.283282031;-0.624329419;0.727986310,-0.309231126;-0.839983378;0.445874461
imc2023_haiper,clustercluster1,fountain_image_071.png,0.332224305;-0.888808539;0.315668168;0.322766725;0.421604113;0.847391063;-0.886255410;-0.179636726;0.426944955,-0.368747138;-1.184375493;0.748708858
imc2023_haiper,clustercluster1,fountain_image_025.png,-0.100752373;0.929065867;0.355929170;-0.959538310;-0.185285482;0.212027173;0.262935717;-0.320165433;0.910142244,-1.023340232;0.177496782;-0.232156482
imc2023_haiper,clustercluster1,fountain_image_000.png,0.934212981;0.303698813;0.187117976;-0.347884533;0.659676277;0.666185830;0.078882556;-0.687454900;0.721930261,-0.471152397;-0.910430781;0.748996288
imc2023_haiper,clustercluster1,fountain_image_007.png,0.487632166;0.860347120;-0.148383636;-0.522249028;0.423651021;0.740118751;0.699621915;-0.283412500;0.655901312,-0.052552162;-1.114389532;0.511890073
imc2023_haiper,clustercluster1,fountain_image_012.png,0.395837014;0.897197248;0.195831962;-0.599132498;0.090699430;0.795495986;0.695954962;-0.432216048;0.573442219,-0.552751781;-1.195002273;0.110065882
imc2023_haiper,clustercluster1,fountain_image_033.png,-0.802399439;0.572961528;-0.166943786;-0.487460323;-0.467856252;0.737219750;0.344292861;0.672923186;0.654703606,0.165944157;-0.746311742;0.073782704
imc2023_haiper,clustercluster1,fountain_image_173.png,-0.672425761;-0.511019828;0.535445918;0.596776158;0.053614634;0.800614569;-0.437837656;0.857895219;0.268912589,-0.771967865;-0.828468392;0.344164301
imc2023_haiper,clustercluster1,fountain_image_056.png,-0.500607105;-0.853333200;-0.145653616;0.181981040;-0.268231413;0.946009942;-0.846330566;0.447073102;0.289569014,0.481492733;-1.211351196;0.745049159
imc2023_haiper,clustercluster1,fountain_image_186.png,0.125923882;-0.881496844;0.455089541;0.539184007;0.445883010;0.714471096;-0.832720711;0.155408028;0.531436320,-0.591949359;-0.781738323;0.189587158
imc2023_haiper,clustercluster1,fountain_image_199.png,0.686337833;-0.706426702;0.172921063;0.076002485;0.306128157;0.948951618;-0.723300768;-0.638158967;0.263797521,-0.202184114;-1.334486782;0.823581137
imc2023_haiper,clustercluster1,fountain_image_230.png,-0.394226744;-0.899439112;0.188665201;0.646827559;-0.125725534;0.752201568;-0.652839477;0.418571827;0.631346373,-0.163160517;-1.094236476;0.123540761
imc2023_haiper,clustercluster1,fountain_image_214.png,0.975961002;0.184062576;0.116709433;-0.176090491;0.350408405;0.919894607;0.128422205;-0.918332684;0.374396607,-0.353014081;-1.317691585;0.582433636
imc2023_haiper,clustercluster1,fountain_image_041.png,-0.938201706;-0.004874432;0.346054617;0.279231355;-0.601400505;0.748563480;0.204468600;0.798932834;0.565596074,-0.619308708;-0.775413188;0.236913920
